OBJECTID,PLAN_NUM,PLAN_TITLE,REVIEW_DATE,SUBMIT_DATE,MCP_SIGN_DATE,CCPC_SIGN_DATE,PLAN_ACRES,LOTS_UNITS,BLDG_SQ_FT,PRIMARY_USE,PRIMARY_CODE,PRIMARY_UNITS,PRIMARY_NOTES,SCNDARY_USE,SCNDARY_CODE,SCNDARY_UNITS,TERTIARY_USE,TERTIARY_CODE,TERTIARY_UNITS,EG_ID,LAND_DEV_ID,LAND_DEV_YEAR,DESCRIPTION,PROJECT_NUM,PROJECT_NAME,SHAPEAREA,SHAPELEN
1,LD-01-17-14648,Devon Yard,2017/01/25 00:00:00+00,2016/12/28 00:00:00+00,2017/05/15 00:00:00+00,2017/09/28 00:00:00+00,6.09,3,49220,Commercial,Retail,1,,Commercial,Restaurant,1,Commercial,Unique,1,ed514efd-6431-4fca-b2e3-ae79ba346419,PR-004477-2017,2017,"demolish existing buildings and construct 3 commercial buildings (Restaurant, Retail/Dining and Event Space) and parking",PR-004477-2017,Devon Yard,255887.926544973,3553.5213353354
2,LD-01-17-14651,Ben Fisher Dairy Operation,2017/01/19 13:18:40+00,2016/12/27 00:00:00+00,2017/08/14 00:00:00+00,2017/11/21 00:00:00+00,97.61,3,21517,Commercial,Unique,3,,,,0,,,0,aed96866-7bb6-4a1b-a7f9-256a422c3652,PR-004478-2017,2017,"Proposed Heifer Barn, Feed Building, and Tie-Stall Barn, etc.",PR-004478-2017,Ben Fisher Dairy Operation,4262432.10092919,9314.70448875428
3,LD-01-17-14672,Chatham Financial,2017/02/01 10:30:52+00,2017/01/09 14:17:32+00,2017/04/10 00:00:00+00,2017/05/02 00:00:00+00,15.71,1,0,Commercial,Parking Lot/Garage,1,,,,0,,,0,fc094a52-6dfd-4534-b666-49d1372d5e0a,PR-004488-2017,2017,Parking lot addition of 161 spaces,PR-004488-2017,Chatham Financial,703266.029785868,5012.84597402488
4,LD-01-17-14690,Avon Grove Charter School,2017/02/01 10:10:10+00,2017/01/13 00:00:00+00,2017/04/05 00:00:00+00,2017/05/10 00:00:00+00,21.21,1,7284,Institutional,School,1,,,,0,,,0,59dc4c7e-394c-4c46-8b27-c0746c18149a,PR-004492-2017,2017,"Construct 7,284 SF modular school unit ",PR-004492-2017,Avon Grove Charter School,991161.602694928,4986.97608244696
5,LD-01-17-14693,"Penn Medicine Chester County Hospital, South Entrance Improvements, Amended Site Plan",2017/01/25 00:00:00+00,2017/01/19 00:00:00+00,2017/02/15 00:00:00+00,2017/03/01 00:00:00+00,17.7,1,0,Institutional,Hospital,1,,,,0,,,0,f34c5856-b227-4c84-8b4c-8434c4d18f9a,PROJ-4389,2017,"proposed canopy and other improvements (sidewalks, gates, etc.)",PROJ-4389,Penn Medicine Chester County Hospital Expansion Pr,763214.333886298,4565.07675527559
6,LD-01-17-14698,"Lancaster Chestnut Associates, L.P.",2017/02/13 00:00:00+00,2017/01/25 00:00:00+00,2018/12/20 00:00:00+00,2019/01/24 00:00:00+00,0.82,17,0,Residential,Apartment,17,,,,0,,,0,d1484ebe-a2cd-4eda-8c68-84add9742691,PR-004495-2017,2017,demolish existing dwellings and construct 17 apartments and parking,PR-004495-2017,"Lancaster Chestnut Associates, L.P.  ",35540.0925726953,789.525800557866
7,LD-01-17-14699,951 Howellville Road,2017/02/15 00:00:00+00,2017/01/26 11:03:24+00,,,3.08,20,0,Residential,Townhouse,20,,,,0,,,0,8f667354-86dc-40da-bfa4-995bdfd1655f,PR-004496-2017,2017,Proposed 20 Townhouses,PR-004496-2017,951 Howellville Road,23530.1189044025,669.22355089733
8,LD-01-17-14702,Aldi Store #87 Expansion,2017/02/13 00:00:00+00,2017/01/30 12:44:21+00,2017/12/13 00:00:00+00,2018/02/15 00:00:00+00,5.58,1,1885,Commercial,Addition to Existing,1,,,,0,,,0,fd0e33fa-9d54-4aa0-8a54-4da6e4c2a8fa,PR-004499-2017,2017,"1,885 SF building addition",PR-004499-2017,Aldi Store #87 Expansion,241390.757389265,2740.84933661121
9,LD-01-18-15245,Freddy's Frozen Custard,2018/01/24 00:00:00+00,2018/01/05 13:20:30+00,2018/03/12 00:00:00+00,2018/03/27 00:00:00+00,1.39,1,3386,Commercial,Fast Food,1,,,,0,,,0,cdc2ec3e-9407-4f59-ae2c-9a9fe2f622b0,PR-004722-2018,2018,Proposed building (Freddy's Frozen Custard) and parking,PR-004722-2018,Freddy's Frozen Custard,60941.9361373701,995.900921620696
10,LD-01-18-15251,640 Rice Boulevard - Eagleview Corporate Center,2018/02/09 00:00:00+00,2018/01/16 00:00:00+00,2018/04/09 00:00:00+00,2018/04/30 00:00:00+00,2.94,1,0,Institutional,Child Daycare,1,,,,0,,,0,37ac3191-58a0-4867-bc1a-1d6736e11405,PR-004727-2018,2018,Converting existing building to a day care,PR-004727-2018,640 Rice Boulevard - Eagleview Corporate Center,122574.828888823,1425.08292649255
