Voltage,Current,Power,Temperature,Humidity,LightIntensity,EnergyGenerated,Fault,FaultType
22.608,2.269,51.291,26.03,45.79,789.08,0.85485,0,Normal
10.115,1.76,17.807,25.83,52.5,611.29,0.29679,1,Low Voltage
23.247,2.189,50.892,16.43,47.25,831.35,0.84819,0,Normal
24.0,1.075,25.798,26.69,59.99,1076.45,0.42997,1,Low Current
20.755,2.47,51.262,34.13,79.55,60.8,0.85437,1,Sensor Anomaly
21.037,1.531,32.203,20.08,44.12,584.44,0.53671,0,Normal
24.0,2.646,63.51,36.34,76.01,1092.18,1.0585,0,Normal
22.68,2.675,60.676,32.41,43.93,864.88,1.01126,0,Normal
20.256,1.413,28.616,23.86,42.74,518.55,0.47693,0,Normal
22.397,2.625,58.797,28.01,72.73,801.92,0.97996,0,Normal
20.511,1.568,32.161,40.19,74.59,520.24,0.53602,0,Normal
21.978,1.516,33.309,34.13,73.33,519.6,0.55515,0,Normal
22.852,1.892,43.235,29.06,34.32,717.75,0.72059,0,Normal
19.431,0.131,2.536,27.34,49.61,114.28,0.04227,0,Normal
19.463,0.559,10.872,29.54,72.81,167.02,0.1812,0,Normal
21.607,1.365,29.503,25.42,58.75,492.56,0.49172,0,Normal
19.967,0.8,15.979,15.0,38.67,366.41,0.26631,0,Normal
21.832,1.737,37.913,43.3,66.25,737.99,0.63189,0,Normal
19.554,0.927,18.129,30.09,45.13,395.75,0.30214,0,Normal
19.21,1.033,19.849,31.79,90.3,254.55,0.33082,0,Normal
24.0,3.351,80.435,28.59,85.81,1060.38,1.34058,0,Normal
21.644,1.683,36.42,23.85,68.87,586.78,0.607,0,Normal
22.864,1.892,43.263,27.7,82.5,668.91,0.72104,0,Normal
18.887,0.65,12.278,17.8,59.17,251.07,0.20463,0,Normal
20.837,1.183,24.657,44.94,71.78,497.57,0.41095,0,Normal
21.329,2.168,46.236,20.36,84.6,681.06,0.77059,0,Normal
20.113,1.259,25.328,21.78,62.42,327.72,0.42214,0,Normal
23.026,1.951,44.92,25.92,53.41,755.2,0.74867,0,Normal
20.415,1.308,26.7,38.02,27.32,481.82,0.445,0,Normal
21.693,1.501,32.552,29.1,56.5,568.33,0.54253,0,Normal
20.334,1.282,26.068,20.35,72.82,481.52,0.43447,0,Normal
23.116,3.234,74.767,37.78,75.02,1100.0,1.24611,0,Normal
22.039,1.549,34.128,34.12,67.08,646.22,0.56881,0,Normal
21.15,1.063,22.486,32.77,48.26,353.84,0.37476,0,Normal
22.359,2.563,57.299,34.01,22.42,880.31,0.95499,0,Normal
20.186,0.093,1.886,45.76,49.09,308.16,0.03144,1,Low Current
21.799,2.087,45.496,44.3,52.52,708.48,0.75827,0,Normal
17.693,0.311,5.494,24.19,52.37,101.29,0.09157,0,Normal
18.492,0.98,18.12,40.37,69.13,278.11,0.30199,0,Normal
